Date	Time	uC Clock [ms]	Packet Number	Payload	RSSI [dBm]	Light [rel]	Humidity [%]	Temperature [C]
2017-11-30	16:39:50.265103	3846832	267	267 763 44.10 20.70 Decir adios es crecer	-95	763	44.10	20.70
2017-11-30	16:40:00.602493	3857167	268	268 749 44.80 20.80 Decir adios es crecer	-92	749	44.80	20.80
2017-11-30	16:40:26.416420	3882975	269	269 774 45.40 20.90 Decir adios es crecer	-95	774	45.40	20.90
2017-11-30	16:40:36.754008	3893310	270	270 746 45.80 21.00 Decir adios es crecer	-93	746	45.80	21.00
2017-11-30	16:40:47.091656	3903645	271	271 742 45.80 21.00 Decir adios es crecer	-94	742	45.80	21.00
2017-11-30	16:40:57.429400	3913980	272	272 734 46.00 21.10 Decir adios es crecer	-93	734	46.00	21.10
2017-11-30	16:41:07.767283	3924317	273	273 754 45.70 21.20 Decir adios es crecer	-88	754	45.70	21.20
2017-11-30	16:41:18.105152	3934652	274	274 755 45.40 21.20 Decir adios es crecer	-92	755	45.40	21.20
2017-11-30	16:41:28.442923	3944987	275	275 756 45.20 21.30 Decir adios es crecer	-84	756	45.20	21.30
2017-11-30	16:41:38.780772	3955322	276	276 465 45.30 21.40 Decir adios es crecer	-91	465	45.30	21.40
2017-11-30	16:41:49.118645	3965658	277	277 750 45.60 21.40 Decir adios es crecer	-89	750	45.60	21.40
2017-11-30	16:41:59.456544	3975993	278	278 742 45.10 21.50 Decir adios es crecer	-90	742	45.10	21.50
2017-11-30	16:42:09.794464	3986328	279	279 747 43.80 21.50 Decir adios es crecer	-90	747	43.80	21.50
2017-11-30	16:42:20.132210	3996663	280	280 765 43.10 21.60 Decir adios es crecer	-79	765	43.10	21.60
2017-11-30	16:42:30.469940	4006999	281	281 713 43.00 21.70 Decir adios es crecer	-78	713	43.00	21.70
2017-11-30	16:42:40.807645	4017334	282	282 721 43.40 21.70 Decir adios es crecer	-79	721	43.40	21.70
2017-11-30	16:46:33.592897	4250036	287	287 723 44.40 21.90 Decir adios es crecer	-74	723	44.40	21.90
2017-11-30	16:46:43.930765	4260371	288	288 730 45.40 23.10 Decir adios es crecer	-74	730	45.40	23.10
2017-11-30	16:46:54.268406	4270706	289	289 721 45.20 23.10 Decir adios es crecer	-75	721	45.20	23.10
2017-11-30	16:47:04.606215	4281041	290	290 956 45.30 23.30 Decir adios es crecer	-84	956	45.30	23.30
2017-11-30	16:47:14.943888	4291377	291	291 443 45.40 23.30 Decir adios es crecer	-88	443	45.40	23.30
2017-11-30	16:47:25.281658	4301712	292	292 430 45.20 23.40 Decir adios es crecer	-89	430	45.20	23.40
2017-11-30	16:47:35.619501	4312047	293	293 800 44.60 23.40 Decir adios es crecer	-89	800	44.60	23.40
2017-11-30	16:47:45.957358	4322382	294	294 764 44.60 23.50 Decir adios es crecer	-88	764	44.60	23.50
2017-11-30	16:47:57.169628	4333592	295	295 765 44.80 23.60 Decir adios es crecer	-88	765	44.80	23.60
2017-11-30	16:48:07.507577	4343927	296	296 762 44.70 23.70 Decir adios es crecer	-90	762	44.70	23.70
2017-11-30	16:48:30.309714	4366725	297	297 763 44.50 23.80 Decir adios es crecer	-86	763	44.50	23.80
2017-11-30	16:48:40.647255	4377059	298	298 401 44.80 24.00 Decir adios es crecer	-83	401	44.80	24.00
2017-11-30	16:48:50.984816	4387394	299	299 764 44.80 24.00 Decir adios es crecer	-88	764	44.80	24.00
2017-11-30	16:49:01.322394	4397729	300	300 351 44.80 24.10 Decir adios es crecer	-92	351	44.80	24.10
2017-11-30	16:49:11.660213	4408065	301	301 770 44.70 24.20 Decir adios es crecer	-80	770	44.70	24.20
2017-11-30	16:49:21.997937	4418400	302	302 770 44.40 24.30 Decir adios es crecer	-82	770	44.40	24.30
2017-11-30	16:49:32.335739	4428735	303	303 936 44.60 24.30 Decir adios es crecer	-84	936	44.60	24.30
2017-11-30	16:49:42.673464	4439070	304	304 597 42.50 24.40 Decir adios es crecer	-89	597	42.50	24.40
2017-11-30	16:50:04.232939	4460624	305	305 103 41.20 24.40 Decir adios es crecer	-80	103	41.20	24.40
			306	    				
2017-11-30	16:51:02.101787	4518169	307	307 50 41.50 24.50 Decir adios es crecer	-82	50	41.50	24.50
2017-11-30	16:52:21.916686	4598276	308	308 743 42.70 24.50 Decir adios es crecer	-86	743	42.70	24.50
2017-11-30	16:52:32.254349	4608611	309	309 740 44.10 24.60 Decir adios es crecer	-83	740	44.10	24.60
2017-11-30	16:52:42.592208	4618946	310	310 602 43.70 24.70 Decir adios es crecer	-78	602	43.70	24.70
2017-11-30	16:52:52.930067	4629281	311	311 703 43.10 24.70 Decir adios es crecer	-87	703	43.10	24.70
2017-11-30	16:53:07.539193	4643888	312	312 752 42.40 24.80 Decir adios es crecer	-84	752	42.40	24.80
2017-11-30	16:53:17.876858	4654223	313	313 763 42.90 24.80 Decir adios es crecer	-91	763	42.90	24.80
2017-11-30	16:53:28.214404	4664558	314	314 468 43.20 24.80 Decir adios es crecer	-89	468	43.20	24.80
2017-11-30	16:53:38.552170	4674893	315	315 716 43.50 24.90 Decir adios es crecer	-76	716	43.50	24.90
2017-11-30	16:53:48.889902	4685229	316	316 778 43.60 24.90 Decir adios es crecer	-80	778	43.60	24.90
2017-11-30	16:53:59.227568	4695564	317	317 493 42.60 25.00 Decir adios es crecer	-89	493	42.60	25.00
2017-11-30	16:54:16.292574	4712625	318	318 727 41.40 25.00 Decir adios es crecer	-87	727	41.40	25.00
2017-11-30	16:54:28.408911	4724738	319	319 737 41.30 25.00 Decir adios es crecer	-80	737	41.30	25.00
2017-11-30	16:54:38.746681	4735073	320	320 494 41.90 25.10 Decir adios es crecer	-92	494	41.90	25.10
2017-11-30	16:54:49.084315	4745408	321	321 792 42.20 25.10 Decir adios es crecer	-89	792	42.20	25.10
			322	    				
2017-11-30	16:55:10.062342	4766078	323	323 753 41.80 25.20 Decir adios es crecer	-88	753	41.80	25.20
2017-11-30	16:55:20.097401	4776414	324	324 767 41.50 25.20 Decir adios es crecer	-89	767	41.50	25.20
2017-11-30	16:55:30.435097	4786749	325	325 420 41.80 25.20 Decir adios es crecer	-86	420	41.80	25.20
2017-11-30	16:55:40.772739	4797084	326	326 745 42.10 25.30 Decir adios es crecer	-89	745	42.10	25.30
2017-11-30	16:55:51.110358	4807419	327	327 741 42.20 25.30 Decir adios es crecer	-83	741	42.20	25.30
2017-11-30	16:56:01.447977	4817755	328	328 749 42.40 25.30 Decir adios es crecer	-76	749	42.40	25.30
2017-11-30	16:56:11.785566	4828090	329	329 744 42.50 25.40 Decir adios es crecer	-87	744	42.50	25.40
2017-11-30	16:56:22.123281	4838425	330	330 739 42.30 25.40 Decir adios es crecer	-93	739	42.30	25.40
2017-11-30	16:56:32.460930	4848759	331	331 745 42.60 25.40 Decir adios es crecer	-92	745	42.60	25.40
2017-11-30	16:56:42.798540	4859095	332	332 744 41.80 25.40 Decir adios es crecer	-86	744	41.80	25.40
2017-11-30	16:56:53.136115	4869430	333	333 753 41.80 25.50 Decir adios es crecer	-88	753	41.80	25.50
2017-11-30	16:57:03.473687	4879765	334	334 745 42.00 25.50 Decir adios es crecer	-92	745	42.00	25.50
2017-11-30	16:57:13.811087	4890100	335	335 742 40.70 25.60 Decir adios es crecer	-85	742	40.70	25.60
2017-11-30	16:57:24.148403	4900434	336	336 750 40.80 25.60 Decir adios es crecer	-93	750	40.80	25.60
			337	    				
2017-11-30	16:57:45.124186	4921105	338	338 740 41.10 25.70 Decir adios es crecer	-94	740	41.10	25.70
2017-11-30	16:58:05.026673	4941303	339	339 768 41.70 25.70 Decir adios es crecer	-76	768	41.70	25.70
2017-11-30	16:58:15.364049	4951638	340	340 745 41.80 25.80 Decir adios es crecer	-93	745	41.80	25.80
2017-11-30	16:58:25.701542	4961973	341	341 727 42.30 25.80 Decir adios es crecer	-94	727	42.30	25.80
2017-11-30	16:58:36.038878	4972308	342	342 765 42.40 25.80 Decir adios es crecer	-94	765	42.40	25.80
2017-11-30	16:58:46.376319	4982642	343	343 760 42.10 25.90 Decir adios es crecer	-94	760	42.10	25.90
2017-11-30	16:58:56.713866	4992977	344	344 697 41.00 25.90 Decir adios es crecer	-94	697	41.00	25.90
2017-11-30	16:59:07.051217	5003313	345	345 724 41.70 26.00 Decir adios es crecer	-95	724	41.70	26.00
			346	    				
			347	    				
			348	    				
			349	    				
2017-11-30	17:00:13.348536	5068145	350	350 769 42.60 26.20 Decir adios es crecer	-95	769	42.60	26.20
2017-11-30	17:00:22.236285	5078478	351	351 766 42.40 26.30 Decir adios es crecer	-95	766	42.40	26.30
2017-11-30	17:00:32.661572	5088902	352	352 765 40.60 26.40 Decir adios es crecer	-94	765	40.60	26.40
2017-11-30	17:00:42.998885	5099236	353	353 443 40.10 26.40 Decir adios es crecer	-95	443	40.10	26.40
2017-11-30	17:00:53.336182	5109571	354	354 444 39.80 26.40 Decir adios es crecer	-93	444	39.80	26.40
2017-11-30	17:01:03.673428	5119905	355	355 757 40.50 26.50 Decir adios es crecer	-93	757	40.50	26.50
2017-11-30	17:01:14.010686	5130241	356	356 715 39.90 26.50 Decir adios es crecer	-91	715	39.90	26.50
2017-11-30	17:01:24.347660	5140576	357	357 380 40.60 26.60 Decir adios es crecer	-94	380	40.60	26.60
2017-11-30	17:01:34.684596	5150910	358	358 763 40.80 26.60 Decir adios es crecer	-90	763	40.80	26.60
2017-11-30	17:01:45.021484	5161245	359	359 756 40.00 26.60 Decir adios es crecer	-92	756	40.00	26.60
2017-11-30	17:01:55.358473	5171579	360	360 763 40.20 26.60 Decir adios es crecer	-92	763	40.20	26.60
2017-11-30	17:03:23.839553	5260042	361	361 743 40.40 26.70 Decir adios es crecer	-94	743	40.40	26.70
2017-11-30	17:03:45.022996	5281223	362	362 737 38.00 27.10 Decir adios es crecer	-95	737	38.00	27.10
2017-11-30	17:03:55.359050	5291557	363	363 799 36.90 27.10 Decir adios es crecer	-91	799	36.90	27.10
2017-11-30	17:04:05.695200	5301893	364	364 764 37.10 27.10 Decir adios es crecer	-91	764	37.10	27.10
			365	    				
2017-11-30	17:05:44.011583	5399870	366	366 258 35.70 27.10 Decir adios es crecer	-94	258	35.70	27.10
2017-11-30	17:05:54.022916	5410205	367	367 357 35.10 27.10 Decir adios es crecer	-94	357	35.10	27.10
			368	    				
2017-11-30	17:06:15.016402	5430875	369	369 733 34.70 27.00 Decir adios es crecer	-92	733	34.70	27.00
			370	    				
2017-11-30	17:06:55.005887	5470873	371	371 761 36.60 27.00 Decir adios es crecer	-92	761	36.60	27.00
2017-11-30	17:07:05.036759	5481207	372	372 762 36.50 27.10 Decir adios es crecer	-92	762	36.50	27.10
			373	    				
2017-11-30	17:07:26.026145	5501878	374	374 743 37.80 27.10 Decir adios es crecer	-95	743	37.80	27.10
2017-11-30	17:07:36.045591	5512212	375	375 715 38.30 27.10 Decir adios es crecer	-91	715	38.30	27.10
2017-11-30	17:08:30.956981	5567113	376	376 670 38.40 27.10 Decir adios es crecer	-94	670	38.40	27.10
2017-11-30	17:08:41.293239	5577448	377	377 701 36.80 27.30 Decir adios es crecer	-94	701	36.80	27.30
2017-11-30	17:08:51.629748	5587782	378	378 691 36.30 27.30 Decir adios es crecer	-91	691	36.30	27.30
2017-11-30	17:09:01.966233	5598117	379	379 683 36.30 27.20 Decir adios es crecer	-85	683	36.30	27.20
2017-11-30	17:09:12.302730	5608452	380	380 665 35.60 27.20 Decir adios es crecer	-90	665	35.60	27.20
2017-11-30	17:09:22.639281	5618787	381	381 412 35.60 27.20 Decir adios es crecer	-93	412	35.60	27.20
2017-11-30	17:09:32.975898	5629121	382	382 387 36.40 27.20 Decir adios es crecer	-93	387	36.40	27.20
2017-11-30	17:09:43.312434	5639455	383	383 380 36.00 27.20 Decir adios es crecer	-90	380	36.00	27.20
2017-11-30	17:09:53.649185	5649790	384	384 353 34.20 27.10 Decir adios es crecer	-92	353	34.20	27.10
2017-11-30	17:10:03.985968	5660126	385	385 384 33.40 27.10 Decir adios es crecer	-91	384	33.40	27.10
2017-11-30	17:10:14.322681	5670460	386	386 357 33.30 27.00 Decir adios es crecer	-91	357	33.30	27.00
2017-11-30	17:10:24.659244	5680795	387	387 398 34.00 27.00 Decir adios es crecer	-95	398	34.00	27.00
2017-11-30	17:10:34.995948	5691129	388	388 394 33.30 26.90 Decir adios es crecer	-93	394	33.30	26.90
			389	    				
2017-11-30	17:10:56.012464	5711799	390	390 355 33.30 26.80 Decir adios es crecer	-93	355	33.30	26.80
2017-11-30	17:11:06.005909	5722134	391	391 360 33.20 26.70 Decir adios es crecer	-92	360	33.20	26.70
			392	    				
2017-11-30	17:11:27.043733	5742803	393	393 385 33.30 26.60 Decir adios es crecer	-94	385	33.30	26.60
			394	    				
2017-11-30	17:11:48.144690	5763473	395	395 350 33.40 26.40 Decir adios es crecer	-91	350	33.40	26.40
			396	    				
2017-11-30	17:12:08.844548	5784142	397	397 391 34.30 26.20 Decir adios es crecer	-93	391	34.30	26.20
2017-11-30	17:12:18.362878	5794477	398	398 383 34.30 26.10 Decir adios es crecer	-92	383	34.30	26.10
			399	    				
2017-11-30	17:12:39.395979	5815147	400	400 433 35.10 26.00 Decir adios es crecer	-94	433	35.10	26.00
2017-11-30	17:14:07.763463	5903850	401	401 691 35.50 26.00 Decir adios es crecer	-85	691	35.50	26.00
2017-11-30	17:14:18.100814	5914185	402	402 683 36.50 25.60 Decir adios es crecer	-94	683	36.50	25.60
			403	    				
2017-11-30	17:14:48.138452	5943891	404	404 426 36.00 25.60 Decir adios es crecer	-91	426	36.00	25.60
2017-11-30	17:14:58.151290	5954226	405	405 456 35.80 25.40 Decir adios es crecer	-89	456	35.80	25.40
2017-11-30	17:15:08.488754	5964561	406	406 533 36.50 25.40 Decir adios es crecer	-93	533	36.50	25.40
2017-11-30	17:15:18.826180	5974896	407	407 336 36.40 25.40 Decir adios es crecer	-93	336	36.40	25.40
2017-11-30	17:15:29.163494	5985231	408	408 392 35.80 25.30 Decir adios es crecer	-94	392	35.80	25.30
2017-11-30	17:15:39.500772	5995566	409	409 431 35.50 25.30 Decir adios es crecer	-95	431	35.50	25.30
			410	    				
			411	    				
2017-11-30	17:17:31.270174	6106563	412	412 663 35.90 24.90 Decir adios es crecer	-87	663	35.90	24.90
2017-11-30	17:17:40.860265	6116898	413	413 711 37.80 24.60 Decir adios es crecer	-93	711	37.80	24.60
2017-11-30	17:17:51.197479	6127234	414	414 677 37.20 24.60 Decir adios es crecer	-88	677	37.20	24.60
2017-11-30	17:18:01.534700	6137568	415	415 721 36.60 24.60 Decir adios es crecer	-85	721	36.60	24.60
2017-11-30	17:18:11.871880	6147903	416	416 728 36.30 24.50 Decir adios es crecer	-91	728	36.30	24.50
2017-11-30	17:18:22.209096	6158238	417	417 683 36.50 24.50 Decir adios es crecer	-89	683	36.50	24.50
2017-11-30	17:18:32.546290	6168572	418	418 535 37.10 24.50 Decir adios es crecer	-89	535	37.10	24.50
2017-11-30	17:18:42.883617	6178908	419	419 591 37.50 24.50 Decir adios es crecer	-90	591	37.50	24.50
2017-11-30	17:18:53.220837	6189243	420	420 501 37.80 24.60 Decir adios es crecer	-90	501	37.80	24.60
2017-11-30	17:19:03.558044	6199578	421	421 530 37.80 24.60 Decir adios es crecer	-90	530	37.80	24.60
2017-11-30	17:19:13.895742	6209913	422	422 497 37.50 24.60 Decir adios es crecer	-91	497	37.50	24.60
			423	    				
2017-11-30	17:19:34.916631	6230583	424	424 500 37.70 24.60 Decir adios es crecer	-88	500	37.70	24.60
2017-11-30	17:19:44.909265	6240918	425	425 650 37.30 24.60 Decir adios es crecer	-88	650	37.30	24.60
2017-11-30	17:19:55.247122	6251253	426	426 722 37.40 24.60 Decir adios es crecer	-87	722	37.40	24.60
2017-11-30	17:20:05.584916	6261588	427	427 724 37.30 24.60 Decir adios es crecer	-91	724	37.30	24.60
2017-11-30	17:20:15.922672	6271923	428	428 578 37.30 24.60 Decir adios es crecer	-89	578	37.30	24.60
2017-11-30	17:20:26.260168	6282258	429	429 463 36.80 24.60 Decir adios es crecer	-90	463	36.80	24.60
			430	    				
2017-11-30	17:20:47.266217	6302928	431	431 665 36.30 24.60 Decir adios es crecer	-93	665	36.30	24.60
2017-11-30	17:20:57.272528	6313264	432	432 494 36.30 24.60 Decir adios es crecer	-91	494	36.30	24.60
2017-11-30	17:21:07.610041	6323598	433	433 522 36.60 24.60 Decir adios es crecer	-90	522	36.60	24.60
2017-11-30	17:21:17.947433	6333933	434	434 530 36.80 24.50 Decir adios es crecer	-89	530	36.80	24.50
2017-11-30	17:21:28.284911	6344268	435	435 529 37.10 24.50 Decir adios es crecer	-92	529	37.10	24.50
			436	    				
			437	    				
			438	    				
			439	    				
2017-11-30	17:22:48.741772	6422714	440	440 931 38.80 24.30 Decir adios es crecer	-92	931	38.80	24.30
