inAir9 ready!
inAir9 freq: 915.00
inAir9 LoRa mod10
inAir9 listening ...

701513 Rx, payload: Decir adios es crecer 350, rssi: -18
703531 Rx, payload: Decir adios es crecer 351, rssi: -18
705546 Rx, payload: Decir adios es crecer 352, rssi: -18
707563 Rx, payload: Decir adios es crecer 353, rssi: -18
709580 Rx, payload: Decir adios es crecer 354, rssi: -18
711598 Rx, payload: Decir adios es crecer 355, rssi: -18
713615 Rx, payload: Decir adios es crecer 356, rssi: -18
715630 Rx, payload: Decir adios es crecer 357, rssi: -18
717647 Rx, payload: Decir adios es crecer 358, rssi: -18
719665 Rx, payload: Decir adios es crecer 359, rssi: -18
721682 Rx, payload: Decir adios es crecer 360, rssi: -18
723699 Rx, payload: Decir adios es crecer 361, rssi: -17
725714 Rx, payload: Decir adios es crecer 362, rssi: -18
727732 Rx, payload: Decir adios es crecer 363, rssi: -18
729749 Rx, payload: Decir adios es crecer 364, rssi: -18
731766 Rx, payload: Decir adios es crecer 365, rssi: -18
733782 Rx, payload: Decir adios es crecer 366, rssi: -18
735799 Rx, payload: Decir adios es crecer 367, rssi: -18
737816 Rx, payload: Decir adios es crecer 368, rssi: -18
739833 Rx, payload: Decir adios es crecer 369, rssi: -18
741851 Rx, payload: Decir adios es crecer 370, rssi: -17
743866 Rx, payload: Decir adios es crecer 371, rssi: -18
745883 Rx, payload: Decir adios es crecer 372, rssi: -18
747900 Rx, payload: Decir adios es crecer 373, rssi: -18
749918 Rx, payload: Decir adios es crecer 374, rssi: -18
751933 Rx, payload: Decir adios es crecer 375, rssi: -18
753950 Rx, payload: Decir adios es crecer 376, rssi: -18
755968 Rx, payload: Decir adios es crecer 377, rssi: -18
757985 Rx, payload: Decir adios es crecer 378, rssi: -17
760002 Rx, payload: Decir adios es crecer 379, rssi: -19
762017 Rx, payload: Decir adios es crecer 380, rssi: -18
764035 Rx, payload: Decir adios es crecer 381, rssi: -18
766052 Rx, payload: Decir adios es crecer 382, rssi: -18
768069 Rx, payload: Decir adios es crecer 383, rssi: -18
770084 Rx, payload: Decir adios es crecer 384, rssi: -17
772102 Rx, payload: Decir adios es crecer 385, rssi: -18
774119 Rx, payload: Decir adios es crecer 386, rssi: -18
776136 Rx, payload: Decir adios es crecer 387, rssi: -18
778153 Rx, payload: Decir adios es crecer 388, rssi: -17
780169 Rx, payload: Decir adios es crecer 389, rssi: -18
782186 Rx, payload: Decir adios es crecer 390, rssi: -18
784203 Rx, payload: Decir adios es crecer 391, rssi: -19
786221 Rx, payload: Decir adios es crecer 392, rssi: -18
788236 Rx, payload: Decir adios es crecer 393, rssi: -18
790253 Rx, payload: Decir adios es crecer 394, rssi: -17
792270 Rx, payload: Decir adios es crecer 395, rssi: -17
794288 Rx, payload: Decir adios es crecer 396, rssi: -18
796305 Rx, payload: Decir adios es crecer 397, rssi: -18
798320 Rx, payload: Decir adios es crecer 398, rssi: -17
800337 Rx, payload: Decir adios es crecer 399, rssi: -17
802355 Rx, payload: Decir adios es crecer 400, rssi: -17
804372 Rx, payload: Decir adios es crecer 401, rssi: -17
806387 Rx, payload: Decir adios es crecer 402, rssi: -17
808404 Rx, payload: Decir adios es crecer 403, rssi: -17
810422 Rx, payload: Decir adios es crecer 404, rssi: -18
812439 Rx, payload: Decir adios es crecer 405, rssi: -17
