inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

480550 Tx, payload: Decir adios es crecer, tx time: 16480 us
482570 Tx, payload: Decir adios es crecer, tx time: 16496 us
484587 Tx, payload: Decir adios es crecer, tx time: 16472 us
486606 Tx, payload: Decir adios es crecer, tx time: 16496 us
488624 Tx, payload: Decir adios es crecer, tx time: 16472 us
490643 Tx, payload: Decir adios es crecer, tx time: 16496 us
492660 Tx, payload: Decir adios es crecer, tx time: 16472 us
494680 Tx, payload: Decir adios es crecer, tx time: 16496 us
496697 Tx, payload: Decir adios es crecer, tx time: 16480 us
498716 Tx, payload: Decir adios es crecer, tx time: 16496 us
500733 Tx, payload: Decir adios es crecer, tx time: 16480 us
502753 Tx, payload: Decir adios es crecer, tx time: 16496 us
504770 Tx, payload: Decir adios es crecer, tx time: 16480 us
506789 Tx, payload: Decir adios es crecer, tx time: 16496 us
508807 Tx, payload: Decir adios es crecer, tx time: 16480 us
510826 Tx, payload: Decir adios es crecer, tx time: 16496 us
512843 Tx, payload: Decir adios es crecer, tx time: 16480 us
514863 Tx, payload: Decir adios es crecer, tx time: 16488 us
516880 Tx, payload: Decir adios es crecer, tx time: 16480 us
518899 Tx, payload: Decir adios es crecer, tx time: 16488 us
520916 Tx, payload: Decir adios es crecer, tx time: 16480 us
522936 Tx, payload: Decir adios es crecer, tx time: 16488 us
524953 Tx, payload: Decir adios es crecer, tx time: 16480 us
526972 Tx, payload: Decir adios es crecer, tx time: 16496 us
528990 Tx, payload: Decir adios es crecer, tx time: 16480 us
531009 Tx, payload: Decir adios es crecer, tx time: 16496 us
533026 Tx, payload: Decir adios es crecer, tx time: 16472 us
535046 Tx, payload: Decir adios es crecer, tx time: 16496 us
537063 Tx, payload: Decir adios es crecer, tx time: 16480 us
539082 Tx, payload: Decir adios es crecer, tx time: 16496 us
541100 Tx, payload: Decir adios es crecer, tx time: 16480 us
543119 Tx, payload: Decir adios es crecer, tx time: 16496 us
545136 Tx, payload: Decir adios es crecer, tx time: 16472 us
547155 Tx, payload: Decir adios es crecer, tx time: 16488 us
549173 Tx, payload: Decir adios es crecer, tx time: 16480 us
551192 Tx, payload: Decir adios es crecer, tx time: 16488 us
553209 Tx, payload: Decir adios es crecer, tx time: 16472 us
555229 Tx, payload: Decir adios es crecer, tx time: 16496 us
557246 Tx, payload: Decir adios es crecer, tx time: 16480 us
559265 Tx, payload: Decir adios es crecer, tx time: 16488 us
561283 Tx, payload: Decir adios es crecer, tx time: 16472 us
563302 Tx, payload: Decir adios es crecer, tx time: 16496 us
565319 Tx, payload: Decir adios es crecer, tx time: 16480 us
567339 Tx, payload: Decir adios es crecer, tx time: 16496 us
569356 Tx, payload: Decir adios es crecer, tx time: 16480 us
571375 Tx, payload: Decir adios es crecer, tx time: 16496 us
573392 Tx, payload: Decir adios es crecer, tx time: 16480 us
575412 Tx, payload: Decir adios es crecer, tx time: 16496 us
577429 Tx, payload: Decir adios es crecer, tx time: 16480 us
